,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Code
0,66,0.457,0.909,0,-9.451,1,0.0317,0.0016,0.000276,0.135,0.755,115.998,156667,4,1
1,60,0.582,0.817,0,-6.475,1,0.0399,0.0017,0.0158,0.575,0.622,155.124,198366,4,1
2,51,0.525,0.976,0,-2.023,1,0.0479,0.0662,0.000392,0.0804,0.855,138.984,192695,4,1
3,47,0.21,0.87,5,-5.985,1,0.0606,0.000147,0.000488,0.188,0.517,168.352,264067,4,1
4,57,0.692,0.799,1,-7.924,1,0.164,0.388,0.0,0.301,0.549,97.978,199667,4,1
5,40,0.525,0.623,7,-6.253,0,0.0291,0.247,0.742,0.148,0.839,144.583,115925,4,1
6,57,0.445,0.655,2,-7.402,0,0.0694,0.418,5.19e-06,0.0829,0.62,108.406,185096,4,1
7,47,0.456,0.754,6,-3.875,0,0.0298,0.195,0.485,0.292,0.521,109.825,255880,4,1
8,47,0.456,0.857,7,-5.854,1,0.0833,0.00157,0.0344,0.333,0.559,167.709,197427,4,1
9,25,0.456,0.961,7,-4.353,1,0.0772,0.000288,0.00201,0.366,0.712,76.547,118720,4,1
10,46,0.892,0.47,0,-8.413,1,0.0368,0.75,0.0,0.0817,0.784,108.92,242347,4,1
11,46,0.558,0.876,6,-5.625,1,0.0288,0.0244,0.293,0.0971,0.448,141.995,304714,4,1
12,66,0.502,0.758,3,-9.76,1,0.0407,0.00915,0.783,0.284,0.729,112.499,213693,4,1
13,54,0.595,0.714,7,-8.9,1,0.0277,0.00378,0.405,0.242,0.399,128.011,307076,4,1
14,54,0.18,0.915,0,-6.855,1,0.0946,0.0224,1.43e-05,0.0929,0.101,94.578,215360,1,1
15,52,0.74,0.696,7,-9.447,1,0.0298,0.524,3.12e-05,0.0752,0.426,103.04,195600,4,1
16,49,0.464,0.919,1,-2.497,1,0.111,0.00315,0.000497,0.154,0.703,167.865,151588,4,1
17,73,0.651,0.801,0,-7.34,1,0.0514,0.123,0.0,0.0825,0.776,133.769,200480,4,1
18,44,0.525,0.922,7,-6.136,1,0.0735,0.000167,3.5e-06,0.77,0.494,142.971,188243,4,1
19,40,0.571,0.719,8,-7.193,0,0.0288,0.00274,0.000463,0.19,0.613,91.984,238508,4,1
20,53,0.373,0.755,2,-7.574,1,0.103,0.00411,0.000799,0.0635,0.57,111.813,340187,4,1
21,56,0.395,0.824,5,-5.659,0,0.0317,0.0516,0.395,0.206,0.514,83.422,232049,4,1
22,14,0.702,0.594,9,-6.401,1,0.262,0.000157,0.603,0.084,0.521,126.015,376747,4,1
23,51,0.833,0.45,1,-9.788,1,0.0829,0.0887,0.00113,0.0873,0.432,101.775,171867,4,1
24,68,0.459,0.931,5,-5.024,1,0.0612,0.00126,0.00881,0.412,0.419,135.826,200693,4,1
25,27,0.342,0.888,7,-4.404,1,0.0617,0.00116,1.18e-05,0.214,0.287,159.118,142147,4,1
26,53,0.6,0.593,0,-9.799,1,0.0452,0.726,0.0,0.399,0.912,134.979,128427,4,1
27,35,0.567,0.914,0,-5.969,0,0.0363,0.0106,0.0,0.125,0.667,124.005,229067,4,1
28,36,0.801,0.346,7,-14.296,1,0.11,0.957,0.913,0.0989,0.309,137.971,420901,4,1
29,47,0.604,0.594,10,-6.706,1,0.0259,0.757,0.635,0.148,0.333,109.931,192550,4,1
30,67,0.542,0.531,9,-7.481,1,0.0301,0.0033,1.51e-06,0.338,0.671,105.97,183391,4,1
31,56,0.644,0.831,11,-7.118,0,0.0334,0.138,0.424,0.115,0.252,104.996,230893,4,1
32,49,0.415,0.355,6,-10.494,0,0.0316,0.985,0.0932,0.103,0.36,113.993,179307,4,1
33,66,0.525,0.578,9,-4.563,1,0.12,0.0132,0.00916,0.108,0.537,123.696,215267,4,1
34,68,0.417,0.63,9,-7.24,1,0.0898,0.0209,0.0134,0.0543,0.341,94.214,254533,4,1
35,38,0.398,0.864,10,-8.199,1,0.0492,0.523,0.0,0.0985,0.782,148.47,135747,4,1
36,37,0.167,0.953,7,-2.919,1,0.0694,0.0472,0.0,0.0941,0.46,145.06,260867,4,1
